dataset,setting,model,task,display_name,value
aariz,1shot,InternVL3_5-1B-HF,aariz_cvm,CVM (Acc),0.095
aariz,1shot,InternVL3_5-1B-HF,aariz_vqa,VQA (Acc),0.21
aariz,1shot,InternVL3_5-2B-HF,aariz_cvm,CVM (Acc),0.048
aariz,1shot,InternVL3_5-2B-HF,aariz_vqa,VQA (Acc),0.202
aariz,1shot,Lingshu-32B,aariz_cvm,CVM (Acc),0.468
aariz,1shot,Lingshu-32B,aariz_vqa,VQA (Acc),0.403
aariz,1shot,MedMO-8B-Next,aariz_cvm,CVM (Acc),0.325
aariz,1shot,MedMO-8B-Next,aariz_vqa,VQA (Acc),0.194
aariz,1shot,Qwen2.5-VL-7B-Instruct,aariz_cvm,CVM (Acc),0.238
aariz,1shot,Qwen2.5-VL-7B-Instruct,aariz_vqa,VQA (Acc),0.281
aariz,1shot,Qwen3-VL-4B-Instruct,aariz_cvm,CVM (Acc),0.429
aariz,1shot,Qwen3-VL-4B-Instruct,aariz_vqa,VQA (Acc),0.397
aariz,1shot,Qwen3.5-4B,aariz_cvm,CVM (Acc),0.175
aariz,1shot,Qwen3.5-4B,aariz_vqa,VQA (Acc),0.173
aariz,1shot,SmolVLM2-2.2B-Instruct,aariz_cvm,CVM (Acc),0.048
aariz,1shot,SmolVLM2-2.2B-Instruct,aariz_vqa,VQA (Acc),0.225
aariz,1shot,dentalgemma-1.5-4b-it,aariz_cvm,CVM (Acc),0.468
aariz,1shot,dentalgemma-1.5-4b-it,aariz_vqa,VQA (Acc),0.376
aariz,1shot,gemini-2.0-flash,aariz_cvm,CVM (Acc),0.444
aariz,1shot,gemini-2.0-flash,aariz_vqa,VQA (Acc),0.36
aariz,1shot,gemini-2.5-flash,aariz_cvm,CVM (Acc),0.194
aariz,1shot,gemini-2.5-flash,aariz_vqa,VQA (Acc),0.28
aariz,1shot,gemma-4-E2B-it,aariz_cvm,CVM (Acc),0.048
aariz,1shot,gemma-4-E2B-it,aariz_vqa,VQA (Acc),0.383
aariz,1shot,gemma-4-E4B-it,aariz_cvm,CVM (Acc),0.46
aariz,1shot,gemma-4-E4B-it,aariz_vqa,VQA (Acc),0.417
aariz,1shot,medgemma-4b-it,aariz_cvm,CVM (Acc),0.357
aariz,1shot,medgemma-4b-it,aariz_vqa,VQA (Acc),0.405
aariz,2shot,InternVL3_5-1B-HF,aariz_cvm,CVM (Acc),0.238
aariz,2shot,InternVL3_5-1B-HF,aariz_vqa,VQA (Acc),0.21
aariz,2shot,InternVL3_5-2B-HF,aariz_cvm,CVM (Acc),0.048
aariz,2shot,InternVL3_5-2B-HF,aariz_vqa,VQA (Acc),0.216
aariz,2shot,Lingshu-32B,aariz_cvm,CVM (Acc),0.468
aariz,2shot,Lingshu-32B,aariz_vqa,VQA (Acc),0.356
aariz,2shot,MedMO-8B-Next,aariz_cvm,CVM (Acc),0.23
aariz,2shot,MedMO-8B-Next,aariz_vqa,VQA (Acc),0.146
aariz,2shot,Qwen2.5-VL-7B-Instruct,aariz_cvm,CVM (Acc),0.103
aariz,2shot,Qwen2.5-VL-7B-Instruct,aariz_vqa,VQA (Acc),0.248
aariz,2shot,Qwen3-VL-4B-Instruct,aariz_cvm,CVM (Acc),0.262
aariz,2shot,Qwen3-VL-4B-Instruct,aariz_vqa,VQA (Acc),0.249
aariz,2shot,Qwen3.5-4B,aariz_cvm,CVM (Acc),0.159
aariz,2shot,Qwen3.5-4B,aariz_vqa,VQA (Acc),0.175
aariz,2shot,SmolVLM2-2.2B-Instruct,aariz_cvm,CVM (Acc),0.048
aariz,2shot,SmolVLM2-2.2B-Instruct,aariz_vqa,VQA (Acc),0.225
aariz,2shot,dentalgemma-1.5-4b-it,aariz_cvm,CVM (Acc),0.111
aariz,2shot,dentalgemma-1.5-4b-it,aariz_vqa,VQA (Acc),0.343
aariz,2shot,gemini-2.0-flash,aariz_cvm,CVM (Acc),0.325
aariz,2shot,gemini-2.0-flash,aariz_vqa,VQA (Acc),0.387
aariz,2shot,gemini-2.5-flash,aariz_cvm,CVM (Acc),0.227
aariz,2shot,gemini-2.5-flash,aariz_vqa,VQA (Acc),0.237
aariz,2shot,gemma-4-E2B-it,aariz_cvm,CVM (Acc),0.048
aariz,2shot,gemma-4-E2B-it,aariz_vqa,VQA (Acc),0.217
aariz,2shot,gemma-4-E4B-it,aariz_cvm,CVM (Acc),0.048
aariz,2shot,gemma-4-E4B-it,aariz_vqa,VQA (Acc),0.411
aariz,2shot,medgemma-4b-it,aariz_cvm,CVM (Acc),0.254
aariz,2shot,medgemma-4b-it,aariz_vqa,VQA (Acc),0.208
aariz,baseline,InternVL3_5-1B-HF,aariz_cvm,CVM (Acc),0.071
aariz,baseline,InternVL3_5-1B-HF,aariz_vqa,VQA (Acc),0.21
aariz,baseline,InternVL3_5-2B-HF,aariz_cvm,CVM (Acc),0.0
aariz,baseline,InternVL3_5-2B-HF,aariz_vqa,VQA (Acc),0.373
aariz,baseline,Lingshu-32B,aariz_cvm,CVM (Acc),0.127
aariz,baseline,Lingshu-32B,aariz_vqa,VQA (Acc),0.256
aariz,baseline,MedMO-8B-Next,aariz_cvm,CVM (Acc),0.048
aariz,baseline,MedMO-8B-Next,aariz_vqa,VQA (Acc),0.214
aariz,baseline,Qwen2.5-VL-7B-Instruct,aariz_cvm,CVM (Acc),0.0
aariz,baseline,Qwen2.5-VL-7B-Instruct,aariz_vqa,VQA (Acc),0.2
aariz,baseline,Qwen3-VL-4B-Instruct,aariz_cvm,CVM (Acc),0.079
aariz,baseline,Qwen3-VL-4B-Instruct,aariz_vqa,VQA (Acc),0.225
aariz,baseline,Qwen3.5-4B,aariz_cvm,CVM (Acc),0.04
aariz,baseline,Qwen3.5-4B,aariz_vqa,VQA (Acc),0.175
aariz,baseline,SmolVLM2-2.2B-Instruct,aariz_cvm,CVM (Acc),0.048
aariz,baseline,SmolVLM2-2.2B-Instruct,aariz_vqa,VQA (Acc),0.225
aariz,baseline,dentalgemma-1.5-4b-it,aariz_cvm,CVM (Acc),0.032
aariz,baseline,dentalgemma-1.5-4b-it,aariz_vqa,VQA (Acc),0.381
aariz,baseline,gemini-2.0-flash,aariz_cvm,CVM (Acc),0.254
aariz,baseline,gemini-2.0-flash,aariz_vqa,VQA (Acc),0.294
aariz,baseline,gemini-2.5-flash,aariz_cvm,CVM (Acc),0.119
aariz,baseline,gemini-2.5-flash,aariz_vqa,VQA (Acc),0.225
aariz,baseline,gemma-4-E2B-it,aariz_cvm,CVM (Acc),0.032
aariz,baseline,gemma-4-E2B-it,aariz_vqa,VQA (Acc),0.389
aariz,baseline,gemma-4-E4B-it,aariz_cvm,CVM (Acc),0.04
aariz,baseline,gemma-4-E4B-it,aariz_vqa,VQA (Acc),0.308
aariz,baseline,medgemma-4b-it,aariz_cvm,CVM (Acc),0.032
aariz,baseline,medgemma-4b-it,aariz_vqa,VQA (Acc),0.397
aariz,baseline,paligemma2-3b-mix-448,aariz_cvm,CVM (Acc),0.032
aariz,baseline,paligemma2-3b-mix-448,aariz_vqa,VQA (Acc),0.203
aariz,sft,InternVL3_5-1B-HF,aariz_cvm,CVM (Acc),0.468
aariz,sft,InternVL3_5-1B-HF,aariz_vqa,VQA (Acc),0.589
aariz,sft,InternVL3_5-2B-HF,aariz_cvm,CVM (Acc),0.468
aariz,sft,InternVL3_5-2B-HF,aariz_vqa,VQA (Acc),0.589
aariz,sft,Lingshu-32B,aariz_cvm,CVM (Acc),0.468
aariz,sft,Lingshu-32B,aariz_vqa,VQA (Acc),0.59
aariz,sft,MedMO-8B-Next,aariz_cvm,CVM (Acc),0.468
aariz,sft,MedMO-8B-Next,aariz_vqa,VQA (Acc),0.589
aariz,sft,Qwen2.5-VL-7B-Instruct,aariz_cvm,CVM (Acc),0.468
aariz,sft,Qwen2.5-VL-7B-Instruct,aariz_vqa,VQA (Acc),0.589
aariz,sft,Qwen3-VL-4B-Instruct,aariz_cvm,CVM (Acc),0.468
aariz,sft,Qwen3-VL-4B-Instruct,aariz_vqa,VQA (Acc),0.589
aariz,sft,Qwen3.5-4B,aariz_cvm,CVM (Acc),0.16
aariz,sft,Qwen3.5-4B,aariz_vqa,VQA (Acc),0.229
aariz,sft,SmolVLM2-2.2B-Instruct,aariz_cvm,CVM (Acc),0.27
aariz,sft,SmolVLM2-2.2B-Instruct,aariz_vqa,VQA (Acc),0.594
aariz,sft,dentalgemma-1.5-4b-it,aariz_cvm,CVM (Acc),0.468
aariz,sft,dentalgemma-1.5-4b-it,aariz_vqa,VQA (Acc),0.589
aariz,sft,gemma-4-E2B-it,aariz_cvm,CVM (Acc),0.468
aariz,sft,gemma-4-E2B-it,aariz_vqa,VQA (Acc),0.587
aariz,sft,gemma-4-E4B-it,aariz_cvm,CVM (Acc),0.5
aariz,sft,gemma-4-E4B-it,aariz_vqa,VQA (Acc),0.569
aariz,sft,medgemma-4b-it,aariz_cvm,CVM (Acc),0.468
aariz,sft,medgemma-4b-it,aariz_vqa,VQA (Acc),0.589
aariz,sft,paligemma2-3b-mix-448,aariz_cvm,CVM (Acc),0.467
