model,AARIZ / CVM (Acc),AARIZ / VQA (Acc),BRAR / BRAR (Acc),CODE / Cls (Acc),CODE / Report (METEOR),DENPAR / Arch (Acc),DENPAR / Count (Acc),DENPAR / Site (Acc),DENTALCARIES / Cls (Acc),DENTALCARIES / Detect (Acc),DR / DR Cls (F1w),METADENT / Cap (BERT-F1),METADENT / Cls (F1),METADENT / VQA (Acc)
gemini-2.5-flash,0.227,0.237,0.291,0.529,0.04,0.976,0.597,0.584,,,0.681,,,
Lingshu-32B,0.468,0.356,0.383,0.543,0.301,0.84,0.39,0.535,0.087,0.457,0.556,0.2,0.093,0.644
MedMO-8B-Next,0.23,0.146,0.564,0.39,0.277,0.605,0.34,0.37,0.858,0.645,0.556,0.151,0.198,0.557
Qwen2.5-VL-7B-Instruct,0.103,0.248,0.342,0.51,0.176,0.395,0.24,0.34,0.058,0.67,0.265,0.153,0.214,0.555
Qwen3.5-4B,0.159,0.175,0.208,0.191,0.121,0.395,0.025,0.45,0.084,0.452,0.533,0.118,0.398,0.773
Qwen3-VL-4B-Instruct,0.262,0.249,0.309,0.593,0.271,0.615,0.51,0.46,0.469,0.588,0.245,0.21,0.283,0.586
gemma-4-E4B-it,0.048,0.411,0.403,0.54,0.16,0.415,0.585,0.585,0.761,0.497,0.636,0.181,0.332,0.599
dentalgemma-1.5-4b-it,0.111,0.343,0.369,0.36,0.095,0.605,0.15,0.25,0.062,0.433,0.088,0.018,0.145,0.542
medgemma-4b-it,0.254,0.208,0.564,0.413,0.236,0.385,0.135,0.395,0.058,0.497,0.618,0.166,0.136,0.554
SmolVLM2-2.2B-Instruct,0.048,0.225,0.564,,,0.605,0.355,0.375,0.863,0.565,0.556,0.106,0.16,0.536
InternVL3_5-2B-HF,0.048,0.216,0.564,0.208,0.031,0.395,0.0,0.31,0.058,0.455,0.138,0.0,0.131,0.345
gemma-4-E2B-it,0.048,0.217,0.564,0.507,0.152,0.325,0.33,0.365,0.058,0.592,0.228,0.174,0.188,0.558
InternVL3_5-1B-HF,0.238,0.21,0.564,0.231,0.025,0.415,0.075,0.35,0.08,0.651,0.574,0.0,0.085,0.322
gemini-2.0-flash,0.325,0.387,0.369,0.538,0.177,0.945,0.625,0.585,0.071,0.605,,0.202,0.353,0.634
