model,AARIZ / CVM (Acc),AARIZ / VQA (Acc),BRAR / BRAR (Acc),CODE / Cls (Acc),CODE / Report (METEOR),DENPAR / Arch (Acc),DENPAR / Count (Acc),DENPAR / Site (Acc),DENTALCARIES / Cls (Acc),DENTALCARIES / Detect (Acc),DR / DR Cls (F1w),METADENT / Cap (BERT-F1),METADENT / Cls (F1),METADENT / VQA (Acc)
gemini-2.5-flash,0.119,0.225,0.272,0.597,0.018,0.99,0.555,0.56,0.066,0.543,0.622,0.144,0.237,0.656
Lingshu-32B,0.127,0.256,0.49,0.507,0.269,0.595,0.35,0.565,0.049,0.56,0.596,0.177,0.34,0.632
MedMO-8B-Next,0.048,0.214,0.255,0.3,0.06,0.61,0.23,0.365,0.748,0.586,0.529,0.089,0.079,0.487
Qwen2.5-VL-7B-Instruct,0.0,0.2,0.268,0.52,0.173,0.4,0.36,0.44,0.067,0.634,0.319,0.149,0.232,0.445
Qwen3.5-4B,0.04,0.175,0.174,0.192,0.111,0.395,0.025,0.3,0.053,0.495,0.542,0.105,0.157,0.817
Qwen3-VL-4B-Instruct,0.079,0.225,0.443,0.555,0.219,0.44,0.64,0.4,0.527,0.627,0.237,0.205,0.222,0.578
gemma-4-E4B-it,0.04,0.308,0.557,0.531,0.15,0.395,0.555,0.52,0.217,0.432,0.615,0.18,0.308,0.591
dentalgemma-1.5-4b-it,0.032,0.381,0.376,0.366,0.155,0.605,0.02,0.28,0.058,0.503,0.073,0.0,0.194,0.165
medgemma-4b-it,0.032,0.397,0.443,0.33,0.154,0.395,0.355,0.395,0.058,0.518,0.57,0.144,0.164,0.542
paligemma2-3b-mix-448,0.032,0.203,0.103,0.0,0.025,0.0,0.35,0.35,0.0,0.64,0.0,,0.0,
SmolVLM2-2.2B-Instruct,0.048,0.225,0.564,0.205,0.17,0.605,0.355,0.25,0.863,0.439,0.556,0.097,0.153,
InternVL3_5-2B-HF,0.0,0.373,0.503,0.17,0.021,0.395,0.0,0.27,0.058,0.361,0.092,0.0,0.0,0.147
gemma-4-E2B-it,0.032,0.389,0.564,0.514,0.147,0.27,0.44,0.4,0.058,0.615,0.245,0.146,0.246,0.477
InternVL3_5-1B-HF,0.071,0.21,0.262,0.206,0.026,0.28,0.09,0.355,0.062,0.611,0.621,0.0,0.0,0.338
gemini-2.0-flash,0.254,0.294,0.57,0.56,0.158,0.84,0.615,0.545,0.062,0.5,,0.182,0.358,0.627
