Class,TP,FP,FN,TN,Precision,Recall,F1
C1,15,125,3,112,0.10714285714285714,0.8333333333333334,0.189873417721519
C2,3,28,21,203,0.0967741935483871,0.125,0.10909090909090909
C3,0,31,19,205,0.0,0.0,0.0
C4,10,61,12,172,0.14084507042253522,0.45454545454545453,0.21505376344086022
C5,7,53,31,164,0.11666666666666667,0.18421052631578946,0.14285714285714285
C6,28,57,23,147,0.32941176470588235,0.5490196078431373,0.4117647058823529
C7,16,69,28,142,0.18823529411764706,0.36363636363636365,0.24806201550387597
C8,13,58,12,172,0.18309859154929578,0.52,0.2708333333333333
C9,1,41,1,212,0.023809523809523808,0.5,0.045454545454545456
C10,1,41,9,204,0.023809523809523808,0.1,0.038461538461538464
C11,3,42,18,192,0.06666666666666667,0.14285714285714285,0.09090909090909091
C12,1,41,4,209,0.023809523809523808,0.2,0.0425531914893617
C13,4,42,32,177,0.08695652173913043,0.1111111111111111,0.0975609756097561
C14,31,63,44,117,0.32978723404255317,0.41333333333333333,0.3668639053254438
C15,13,35,15,192,0.2708333333333333,0.4642857142857143,0.34210526315789475
C16,1,79,0,175,0.0125,1.0,0.024691358024691357
C17,0,45,1,209,0.0,0.0,0.0
C18,3,40,1,211,0.06976744186046512,0.75,0.1276595744680851
