Class,TP,FP,FN,TN,Precision,Recall,F1
C1,5,14,13,229,0.2631578947368421,0.2777777777777778,0.2702702702702703
C2,4,7,21,229,0.36363636363636365,0.16,0.2222222222222222
C3,1,2,18,240,0.3333333333333333,0.05263157894736842,0.09090909090909091
C4,19,73,5,164,0.20652173913043478,0.7916666666666666,0.3275862068965517
C5,0,3,39,219,0.0,0.0,0.0
C6,40,110,12,99,0.26666666666666666,0.7692307692307693,0.39603960396039606
C7,16,29,28,188,0.35555555555555557,0.36363636363636365,0.3595505617977528
C8,2,4,23,232,0.3333333333333333,0.08,0.12903225806451613
C9,0,3,2,256,0.0,0.0,0.0
C10,2,6,8,245,0.25,0.2,0.2222222222222222
C11,10,10,11,230,0.5,0.47619047619047616,0.4878048780487805
C12,4,5,1,251,0.4444444444444444,0.8,0.5714285714285714
C13,16,60,21,164,0.21052631578947367,0.43243243243243246,0.2831858407079646
C14,19,36,59,147,0.34545454545454546,0.24358974358974358,0.2857142857142857
C15,28,3,0,230,0.9032258064516129,1.0,0.9491525423728814
C16,0,4,1,256,0.0,0.0,0.0
C17,0,5,1,255,0.0,0.0,0.0
C18,2,4,2,253,0.3333333333333333,0.5,0.4
