Class,TP,FP,FN,TN,Precision,Recall,F1
C1,8,82,10,161,0.08888888888888889,0.4444444444444444,0.14814814814814814
C2,11,79,14,157,0.12222222222222222,0.44,0.19130434782608696
C3,9,81,10,161,0.1,0.47368421052631576,0.1651376146788991
C4,7,83,17,154,0.07777777777777778,0.2916666666666667,0.12280701754385964
C5,13,77,26,145,0.14444444444444443,0.3333333333333333,0.20155038759689922
C6,16,74,36,135,0.17777777777777778,0.3076923076923077,0.22535211267605634
C7,15,75,29,142,0.16666666666666666,0.3409090909090909,0.22388059701492538
C8,12,78,13,158,0.13333333333333333,0.48,0.20869565217391303
C9,2,88,0,171,0.022222222222222223,1.0,0.043478260869565216
C10,3,87,7,164,0.03333333333333333,0.3,0.06
C11,9,81,12,159,0.1,0.42857142857142855,0.16216216216216217
C12,0,90,5,166,0.0,0.0,0.0
C13,11,79,26,145,0.12222222222222222,0.2972972972972973,0.1732283464566929
C14,78,183,0,0,0.2988505747126437,1.0,0.46017699115044247
C15,5,85,23,148,0.05555555555555555,0.17857142857142858,0.0847457627118644
C16,0,90,1,170,0.0,0.0,0.0
C17,0,90,1,170,0.0,0.0,0.0
C18,2,88,2,169,0.022222222222222223,0.5,0.0425531914893617
