Class,TP,FP,FN,TN,Precision,Recall,F1
C1,5,10,13,233,0.3333333333333333,0.2777777777777778,0.30303030303030304
C2,1,2,24,234,0.3333333333333333,0.04,0.07142857142857142
C3,0,1,19,241,0.0,0.0,0.0
C4,4,4,20,233,0.5,0.16666666666666666,0.25
C5,0,0,39,222,0.0,0.0,0.0
C6,5,3,47,206,0.625,0.09615384615384616,0.16666666666666666
C7,17,33,27,184,0.34,0.38636363636363635,0.3617021276595745
C8,1,0,24,236,1.0,0.04,0.07692307692307693
C9,0,0,2,259,0.0,0.0,0.0
C10,4,10,6,241,0.2857142857142857,0.4,0.3333333333333333
C11,6,10,15,230,0.375,0.2857142857142857,0.32432432432432434
C12,3,1,2,255,0.75,0.6,0.6666666666666666
C13,0,2,37,222,0.0,0.0,0.0
C14,72,141,6,42,0.3380281690140845,0.9230769230769231,0.4948453608247423
C15,26,2,2,231,0.9285714285714286,0.9285714285714286,0.9285714285714286
C16,0,1,1,259,0.0,0.0,0.0
C17,0,1,1,259,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
