Class,TP,FP,FN,TN,Precision,Recall,F1
C1,6,14,12,229,0.3,0.3333333333333333,0.3157894736842105
C2,3,11,22,225,0.21428571428571427,0.12,0.15384615384615385
C3,0,2,19,240,0.0,0.0,0.0
C4,1,1,23,236,0.5,0.041666666666666664,0.07692307692307693
C5,0,1,39,221,0.0,0.0,0.0
C6,13,34,39,175,0.2765957446808511,0.25,0.26262626262626265
C7,0,3,44,214,0.0,0.0,0.0
C8,0,1,25,235,0.0,0.0,0.0
C9,0,1,2,258,0.0,0.0,0.0
C10,9,207,1,44,0.041666666666666664,0.9,0.07964601769911504
C11,20,174,1,66,0.10309278350515463,0.9523809523809523,0.18604651162790697
C12,0,14,5,242,0.0,0.0,0.0
C13,8,54,29,170,0.12903225806451613,0.21621621621621623,0.16161616161616163
C14,51,96,27,87,0.3469387755102041,0.6538461538461539,0.4533333333333333
C15,23,10,5,223,0.696969696969697,0.8214285714285714,0.7540983606557377
C16,0,28,1,232,0.0,0.0,0.0
C17,0,7,1,253,0.0,0.0,0.0
C18,0,7,4,250,0.0,0.0,0.0
