Class,TP,FP,FN,TN,Precision,Recall,F1
C1,3,2,15,241,0.6,0.16666666666666666,0.2608695652173913
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,1,1,23,236,0.5,0.041666666666666664,0.07692307692307693
C5,0,0,39,222,0.0,0.0,0.0
C6,1,0,51,209,1.0,0.019230769230769232,0.03773584905660377
C7,1,1,43,216,0.5,0.022727272727272728,0.043478260869565216
C8,1,0,24,236,1.0,0.04,0.07692307692307693
C9,0,0,2,259,0.0,0.0,0.0
C10,0,0,10,251,0.0,0.0,0.0
C11,2,0,19,240,1.0,0.09523809523809523,0.17391304347826086
C12,0,0,5,256,0.0,0.0,0.0
C13,0,0,37,224,0.0,0.0,0.0
C14,6,5,72,178,0.5454545454545454,0.07692307692307693,0.1348314606741573
C15,23,0,5,233,1.0,0.8214285714285714,0.9019607843137255
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,0,0,4,257,0.0,0.0,0.0
