Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,0,18,243,0.0,0.0,0.0
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,0,0,39,222,0.0,0.0,0.0
C6,0,0,52,209,0.0,0.0,0.0
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,0,0,10,251,0.0,0.0,0.0
C11,2,59,19,181,0.03278688524590164,0.09523809523809523,0.04878048780487805
C12,0,0,5,256,0.0,0.0,0.0
C13,0,0,37,224,0.0,0.0,0.0
C14,78,183,0,0,0.2988505747126437,1.0,0.46017699115044247
C15,0,0,28,233,0.0,0.0,0.0
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,0,0,4,257,0.0,0.0,0.0
