Class,TP,FP,FN,TN,Precision,Recall,F1
C1,5,17,13,226,0.22727272727272727,0.2777777777777778,0.25
C2,0,2,25,234,0.0,0.0,0.0
C3,0,2,19,240,0.0,0.0,0.0
C4,1,1,23,236,0.5,0.041666666666666664,0.07692307692307693
C5,0,2,39,220,0.0,0.0,0.0
C6,6,2,46,207,0.75,0.11538461538461539,0.2
C7,11,27,33,190,0.2894736842105263,0.25,0.2682926829268293
C8,0,2,25,234,0.0,0.0,0.0
C9,0,2,2,257,0.0,0.0,0.0
C10,3,47,7,204,0.06,0.3,0.1
C11,10,59,11,181,0.14492753623188406,0.47619047619047616,0.2222222222222222
C12,0,2,5,254,0.0,0.0,0.0
C13,0,2,37,222,0.0,0.0,0.0
C14,33,43,45,140,0.4342105263157895,0.4230769230769231,0.42857142857142855
C15,17,2,11,231,0.8947368421052632,0.6071428571428571,0.723404255319149
C16,0,2,1,258,0.0,0.0,0.0
C17,0,3,1,257,0.0,0.0,0.0
C18,0,2,4,255,0.0,0.0,0.0
