Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,1,3,61,0.0,0.0,0.0
C2,0,0,3,62,0.0,0.0,0.0
C3,0,2,3,60,0.0,0.0,0.0
C4,1,1,4,59,0.5,0.2,0.2857142857142857
C5,0,0,6,59,0.0,0.0,0.0
C6,1,0,9,55,1.0,0.1,0.18181818181818182
C7,1,1,5,58,0.5,0.16666666666666666,0.25
C8,0,0,2,63,0.0,0.0,0.0
C9,0,0,0,65,0.0,0.0,0.0
C10,0,0,3,62,0.0,0.0,0.0
C11,5,13,0,47,0.2777777777777778,1.0,0.43478260869565216
C12,2,1,1,61,0.6666666666666666,0.6666666666666666,0.6666666666666666
C13,0,1,4,60,0.0,0.0,0.0
C14,4,2,12,47,0.6666666666666666,0.25,0.36363636363636365
C15,18,0,2,45,1.0,0.9,0.9473684210526315
C16,0,3,0,62,0.0,0.0,0.0
C17,0,0,1,64,0.0,0.0,0.0
C18,0,1,2,62,0.0,0.0,0.0
