Class,TP,FP,FN,TN,Precision,Recall,F1
C1,12,21,6,222,0.36363636363636365,0.6666666666666666,0.47058823529411764
C2,2,2,23,234,0.5,0.08,0.13793103448275862
C3,0,0,19,242,0.0,0.0,0.0
C4,22,105,2,132,0.1732283464566929,0.9166666666666666,0.2913907284768212
C5,4,9,35,213,0.3076923076923077,0.10256410256410256,0.15384615384615385
C6,25,63,27,146,0.2840909090909091,0.4807692307692308,0.35714285714285715
C7,27,29,17,188,0.48214285714285715,0.6136363636363636,0.54
C8,7,9,18,227,0.4375,0.28,0.34146341463414637
C9,1,0,1,259,1.0,0.5,0.6666666666666666
C10,5,15,5,236,0.25,0.5,0.3333333333333333
C11,17,37,4,203,0.3148148148148148,0.8095238095238095,0.4533333333333333
C12,4,1,1,255,0.8,0.8,0.8
C13,5,5,32,219,0.5,0.13513513513513514,0.2127659574468085
C14,39,73,39,110,0.3482142857142857,0.5,0.4105263157894737
C15,28,0,0,233,1.0,1.0,1.0
C16,0,2,1,258,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,0,2,257,1.0,0.5,0.6666666666666666
