Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,0,11,116,0.0,0.0,0.0
C2,0,0,12,115,0.0,0.0,0.0
C3,0,0,11,116,0.0,0.0,0.0
C4,0,0,13,114,0.0,0.0,0.0
C5,0,0,23,104,0.0,0.0,0.0
C6,0,0,21,106,0.0,0.0,0.0
C7,0,0,26,101,0.0,0.0,0.0
C8,0,0,15,112,0.0,0.0,0.0
C9,0,0,2,125,0.0,0.0,0.0
C10,0,0,7,120,0.0,0.0,0.0
C11,0,0,13,114,0.0,0.0,0.0
C12,0,0,4,123,0.0,0.0,0.0
C13,0,0,17,110,0.0,0.0,0.0
C14,0,0,43,84,0.0,0.0,0.0
C15,0,0,21,106,0.0,0.0,0.0
C16,0,0,1,126,0.0,0.0,0.0
C17,0,0,1,126,0.0,0.0,0.0
C18,0,0,3,124,0.0,0.0,0.0
