Class,TP,FP,FN,TN,Precision,Recall,F1
C1,12,20,6,223,0.375,0.6666666666666666,0.48
C2,2,10,23,226,0.16666666666666666,0.08,0.10810810810810811
C3,0,0,19,242,0.0,0.0,0.0
C4,18,94,6,143,0.16071428571428573,0.75,0.2647058823529412
C5,26,54,13,168,0.325,0.6666666666666666,0.4369747899159664
C6,16,31,36,178,0.3404255319148936,0.3076923076923077,0.32323232323232326
C7,26,67,18,150,0.27956989247311825,0.5909090909090909,0.3795620437956204
C8,5,2,20,234,0.7142857142857143,0.2,0.3125
C9,0,0,2,259,0.0,0.0,0.0
C10,3,31,7,220,0.08823529411764706,0.3,0.13636363636363635
C11,13,25,8,215,0.34210526315789475,0.6190476190476191,0.4406779661016949
C12,4,0,1,256,1.0,0.8,0.8888888888888888
C13,6,21,31,203,0.2222222222222222,0.16216216216216217,0.1875
C14,50,52,28,131,0.49019607843137253,0.6410256410256411,0.5555555555555556
C15,26,0,2,233,1.0,0.9285714285714286,0.9629629629629629
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
