Class,TP,FP,FN,TN,Precision,Recall,F1
C1,18,241,0,2,0.0694980694980695,1.0,0.1299638989169675
C2,0,1,25,235,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,3,24,234,0.0,0.0,0.0
C5,0,0,39,222,0.0,0.0,0.0
C6,0,6,52,203,0.0,0.0,0.0
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,10,249,0,2,0.03861003861003861,1.0,0.07434944237918216
C11,5,38,16,202,0.11627906976744186,0.23809523809523808,0.15625
C12,0,0,5,256,0.0,0.0,0.0
C13,9,41,28,183,0.18,0.24324324324324326,0.20689655172413793
C14,22,37,56,146,0.3728813559322034,0.28205128205128205,0.32116788321167883
C15,5,42,23,191,0.10638297872340426,0.17857142857142858,0.13333333333333333
C16,1,43,0,217,0.022727272727272728,1.0,0.044444444444444446
C17,0,44,1,216,0.0,0.0,0.0
C18,0,43,4,214,0.0,0.0,0.0
