Class,TP,FP,FN,TN,Precision,Recall,F1
C1,10,109,8,134,0.08403361344537816,0.5555555555555556,0.145985401459854
C2,9,32,16,204,0.21951219512195122,0.36,0.2727272727272727
C3,4,37,15,205,0.0975609756097561,0.21052631578947367,0.13333333333333333
C4,4,29,20,208,0.12121212121212122,0.16666666666666666,0.14035087719298245
C5,8,25,31,197,0.24242424242424243,0.20512820512820512,0.2222222222222222
C6,25,36,27,173,0.4098360655737705,0.4807692307692308,0.4424778761061947
C7,14,64,30,153,0.1794871794871795,0.3181818181818182,0.22950819672131148
C8,3,31,22,205,0.08823529411764706,0.12,0.1016949152542373
C9,0,32,2,227,0.0,0.0,0.0
C10,2,43,8,208,0.044444444444444446,0.2,0.07272727272727272
C11,5,33,16,207,0.13157894736842105,0.23809523809523808,0.1694915254237288
C12,4,33,1,223,0.10810810810810811,0.8,0.19047619047619047
C13,4,28,33,196,0.125,0.10810810810810811,0.11594202898550725
C14,18,21,60,162,0.46153846153846156,0.23076923076923078,0.3076923076923077
C15,27,32,1,201,0.4576271186440678,0.9642857142857143,0.6206896551724138
C16,0,34,1,226,0.0,0.0,0.0
C17,0,35,1,225,0.0,0.0,0.0
C18,1,32,3,225,0.030303030303030304,0.25,0.05405405405405406
