Class,TP,FP,FN,TN,Precision,Recall,F1
C1,7,15,11,228,0.3181818181818182,0.3888888888888889,0.35
C2,1,10,24,226,0.09090909090909091,0.04,0.05555555555555555
C3,0,1,19,241,0.0,0.0,0.0
C4,12,56,12,181,0.17647058823529413,0.5,0.2608695652173913
C5,3,7,36,215,0.3,0.07692307692307693,0.12244897959183673
C6,15,38,37,171,0.2830188679245283,0.28846153846153844,0.2857142857142857
C7,14,21,30,196,0.4,0.3181818181818182,0.35443037974683544
C8,6,6,19,230,0.5,0.24,0.32432432432432434
C9,0,4,2,255,0.0,0.0,0.0
C10,3,13,7,238,0.1875,0.3,0.23076923076923078
C11,8,8,13,232,0.5,0.38095238095238093,0.43243243243243246
C12,4,5,1,251,0.4444444444444444,0.8,0.5714285714285714
C13,10,22,27,202,0.3125,0.2702702702702703,0.2898550724637681
C14,1,5,77,178,0.16666666666666666,0.01282051282051282,0.023809523809523808
C15,28,2,0,231,0.9333333333333333,1.0,0.9655172413793104
C16,0,3,1,257,0.0,0.0,0.0
C17,0,3,1,257,0.0,0.0,0.0
C18,2,4,2,253,0.3333333333333333,0.5,0.4
