Class,TP,FP,FN,TN,Precision,Recall,F1
C1,12,172,0,0,0.06521739130434782,1.0,0.12244897959183673
C2,14,170,0,0,0.07608695652173914,1.0,0.1414141414141414
C3,14,170,0,0,0.07608695652173914,1.0,0.1414141414141414
C4,16,168,0,0,0.08695652173913043,1.0,0.16
C5,22,162,0,0,0.11956521739130435,1.0,0.21359223300970873
C6,39,145,0,0,0.21195652173913043,1.0,0.34977578475336324
C7,35,149,0,0,0.19021739130434784,1.0,0.319634703196347
C8,11,173,0,0,0.059782608695652176,1.0,0.11282051282051282
C9,1,183,0,0,0.005434782608695652,1.0,0.010810810810810811
C10,6,178,0,0,0.03260869565217391,1.0,0.06315789473684211
C11,10,174,0,0,0.05434782608695652,1.0,0.10309278350515463
C12,2,182,0,0,0.010869565217391304,1.0,0.021505376344086023
C13,29,155,0,0,0.15760869565217392,1.0,0.27230046948356806
C14,60,124,0,0,0.32608695652173914,1.0,0.4918032786885246
C15,13,171,0,0,0.07065217391304347,1.0,0.1319796954314721
C16,0,184,0,0,0.0,0.0,0.0
C17,1,183,0,0,0.005434782608695652,1.0,0.010810810810810811
C18,4,180,0,0,0.021739130434782608,1.0,0.0425531914893617
