Class,TP,FP,FN,TN,Precision,Recall,F1
C1,10,10,8,233,0.5,0.5555555555555556,0.5263157894736842
C2,2,1,23,235,0.6666666666666666,0.08,0.14285714285714285
C3,0,0,19,242,0.0,0.0,0.0
C4,23,171,1,66,0.11855670103092783,0.9583333333333334,0.21100917431192662
C5,29,39,10,183,0.4264705882352941,0.7435897435897436,0.5420560747663551
C6,45,133,7,76,0.25280898876404495,0.8653846153846154,0.391304347826087
C7,32,71,12,146,0.3106796116504854,0.7272727272727273,0.43537414965986393
C8,7,7,18,229,0.5,0.28,0.358974358974359
C9,1,1,1,258,0.5,0.5,0.5
C10,5,27,5,224,0.15625,0.5,0.23809523809523808
C11,16,26,5,214,0.38095238095238093,0.7619047619047619,0.5079365079365079
C12,4,3,1,253,0.5714285714285714,0.8,0.6666666666666666
C13,6,7,31,217,0.46153846153846156,0.16216216216216217,0.24
C14,53,86,25,97,0.381294964028777,0.6794871794871795,0.48847926267281105
C15,28,2,0,231,0.9333333333333333,1.0,0.9655172413793104
C16,0,6,1,254,0.0,0.0,0.0
C17,0,1,1,259,0.0,0.0,0.0
C18,2,1,2,256,0.6666666666666666,0.5,0.5714285714285714
