Class,TP,FP,FN,TN,Precision,Recall,F1
C1,4,9,14,234,0.3076923076923077,0.2222222222222222,0.25806451612903225
C2,1,0,24,236,1.0,0.04,0.07692307692307693
C3,0,1,19,241,0.0,0.0,0.0
C4,15,36,9,201,0.29411764705882354,0.625,0.4
C5,0,3,39,219,0.0,0.0,0.0
C6,12,12,40,197,0.5,0.23076923076923078,0.3157894736842105
C7,34,117,10,100,0.2251655629139073,0.7727272727272727,0.3487179487179487
C8,1,1,24,235,0.5,0.04,0.07407407407407407
C9,0,0,2,259,0.0,0.0,0.0
C10,3,26,7,225,0.10344827586206896,0.3,0.15384615384615385
C11,7,15,14,225,0.3181818181818182,0.3333333333333333,0.32558139534883723
C12,3,2,2,254,0.6,0.6,0.6
C13,4,14,33,210,0.2222222222222222,0.10810810810810811,0.14545454545454545
C14,64,102,14,81,0.3855421686746988,0.8205128205128205,0.5245901639344263
C15,25,2,3,231,0.9259259259259259,0.8928571428571429,0.9090909090909091
C16,0,5,1,255,0.0,0.0,0.0
C17,0,1,1,259,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
