Class,TP,FP,FN,TN,Precision,Recall,F1
C1,16,185,2,58,0.07960199004975124,0.8888888888888888,0.1461187214611872
C2,9,84,16,152,0.0967741935483871,0.36,0.15254237288135594
C3,4,78,15,164,0.04878048780487805,0.21052631578947367,0.07920792079207921
C4,6,67,18,170,0.0821917808219178,0.25,0.12371134020618557
C5,8,64,31,158,0.1111111111111111,0.20512820512820512,0.14414414414414414
C6,29,112,23,97,0.20567375886524822,0.5576923076923077,0.3005181347150259
C7,15,67,29,150,0.18292682926829268,0.3409090909090909,0.23809523809523808
C8,3,69,22,167,0.041666666666666664,0.12,0.061855670103092786
C9,0,72,2,187,0.0,0.0,0.0
C10,9,232,1,19,0.03734439834024896,0.9,0.07171314741035857
C11,20,196,1,44,0.09259259259259259,0.9523809523809523,0.16877637130801687
C12,2,86,3,170,0.022727272727272728,0.4,0.043010752688172046
C13,16,113,21,111,0.12403100775193798,0.43243243243243246,0.1927710843373494
C14,25,72,53,111,0.25773195876288657,0.32051282051282054,0.2857142857142857
C15,25,80,3,153,0.23809523809523808,0.8928571428571429,0.37593984962406013
C16,1,93,0,167,0.010638297872340425,1.0,0.021052631578947368
C17,0,81,1,179,0.0,0.0,0.0
C18,0,80,4,177,0.0,0.0,0.0
