Class,TP,FP,FN,TN,Precision,Recall,F1
C1,11,24,7,219,0.3142857142857143,0.6111111111111112,0.41509433962264153
C2,2,3,23,233,0.4,0.08,0.13333333333333333
C3,1,3,18,239,0.25,0.05263157894736842,0.08695652173913043
C4,2,0,22,237,1.0,0.08333333333333333,0.15384615384615385
C5,3,0,36,222,1.0,0.07692307692307693,0.14285714285714285
C6,0,0,52,209,0.0,0.0,0.0
C7,1,0,43,217,1.0,0.022727272727272728,0.044444444444444446
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,4,2,6,249,0.6666666666666666,0.4,0.5
C11,9,2,12,238,0.8181818181818182,0.42857142857142855,0.5625
C12,3,2,2,254,0.6,0.6,0.6
C13,5,17,32,207,0.22727272727272727,0.13513513513513514,0.1694915254237288
C14,32,46,46,137,0.41025641025641024,0.41025641025641024,0.41025641025641024
C15,25,0,3,233,1.0,0.8928571428571429,0.9433962264150944
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,2,2,255,0.5,0.5,0.5
