Class,TP,FP,FN,TN,Precision,Recall,F1
C1,3,3,15,240,0.5,0.16666666666666666,0.25
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,2,0,37,222,1.0,0.05128205128205128,0.0975609756097561
C6,2,0,50,209,1.0,0.038461538461538464,0.07407407407407407
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,0,0,10,251,0.0,0.0,0.0
C11,2,2,19,238,0.5,0.09523809523809523,0.16
C12,1,0,4,256,1.0,0.2,0.3333333333333333
C13,0,1,37,223,0.0,0.0,0.0
C14,3,3,75,180,0.5,0.038461538461538464,0.07142857142857142
C15,25,0,3,233,1.0,0.8928571428571429,0.9433962264150944
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,0,0,4,257,0.0,0.0,0.0
