Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,2,18,241,0.0,0.0,0.0
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,1,0,38,222,1.0,0.02564102564102564,0.05
C6,0,0,52,209,0.0,0.0,0.0
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,0,1,10,250,0.0,0.0,0.0
C11,0,1,21,239,0.0,0.0,0.0
C12,1,0,4,256,1.0,0.2,0.3333333333333333
C13,0,0,37,224,0.0,0.0,0.0
C14,1,1,77,182,0.5,0.01282051282051282,0.025
C15,26,0,2,233,1.0,0.9285714285714286,0.9629629629629629
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,1,1,3,256,0.5,0.25,0.3333333333333333
