Class,TP,FP,FN,TN,Precision,Recall,F1
C1,11,15,7,228,0.4230769230769231,0.6111111111111112,0.5
C2,2,10,23,226,0.16666666666666666,0.08,0.10810810810810811
C3,0,0,19,242,0.0,0.0,0.0
C4,4,1,20,236,0.8,0.16666666666666666,0.27586206896551724
C5,14,6,25,216,0.7,0.358974358974359,0.4745762711864407
C6,21,9,31,200,0.7,0.40384615384615385,0.5121951219512195
C7,6,1,38,216,0.8571428571428571,0.13636363636363635,0.23529411764705882
C8,3,1,22,235,0.75,0.12,0.20689655172413793
C9,0,0,2,259,0.0,0.0,0.0
C10,3,2,7,249,0.6,0.3,0.4
C11,9,8,12,232,0.5294117647058824,0.42857142857142855,0.47368421052631576
C12,4,0,1,256,1.0,0.8,0.8888888888888888
C13,8,7,29,217,0.5333333333333333,0.21621621621621623,0.3076923076923077
C14,27,45,51,138,0.375,0.34615384615384615,0.36
C15,28,0,0,233,1.0,1.0,1.0
C16,0,1,1,259,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,6,2,251,0.25,0.5,0.3333333333333333
