Class,TP,FP,FN,TN,Precision,Recall,F1
C1,1,4,4,171,0.2,0.2,0.2
C2,4,6,10,160,0.4,0.2857142857142857,0.3333333333333333
C3,2,19,8,151,0.09523809523809523,0.2,0.12903225806451613
C4,1,4,16,159,0.2,0.058823529411764705,0.09090909090909091
C5,6,11,12,151,0.35294117647058826,0.3333333333333333,0.34285714285714286
C6,6,5,20,149,0.5454545454545454,0.23076923076923078,0.32432432432432434
C7,7,14,17,142,0.3333333333333333,0.2916666666666667,0.3111111111111111
C8,2,4,10,164,0.3333333333333333,0.16666666666666666,0.2222222222222222
C9,0,0,0,180,0.0,0.0,0.0
C10,0,1,3,176,0.0,0.0,0.0
C11,4,4,7,165,0.5,0.36363636363636365,0.42105263157894735
C12,4,0,1,175,1.0,0.8,0.8888888888888888
C13,5,16,11,148,0.23809523809523808,0.3125,0.2702702702702703
C14,12,18,38,112,0.4,0.24,0.3
C15,20,1,3,156,0.9523809523809523,0.8695652173913043,0.9090909090909091
C16,0,2,1,177,0.0,0.0,0.0
C17,0,0,0,180,0.0,0.0,0.0
C18,1,1,0,178,0.5,1.0,0.6666666666666666
