Class,TP,FP,FN,TN,Precision,Recall,F1
C1,2,8,16,235,0.2,0.1111111111111111,0.14285714285714285
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,0,0,39,222,0.0,0.0,0.0
C6,0,0,52,209,0.0,0.0,0.0
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,1,1,9,250,0.5,0.1,0.16666666666666666
C11,4,2,17,238,0.6666666666666666,0.19047619047619047,0.2962962962962963
C12,3,1,2,255,0.75,0.6,0.6666666666666666
C13,2,5,35,219,0.2857142857142857,0.05405405405405406,0.09090909090909091
C14,14,16,64,167,0.4666666666666667,0.1794871794871795,0.25925925925925924
C15,5,0,23,233,1.0,0.17857142857142858,0.30303030303030304
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,1,0,3,257,1.0,0.25,0.4
