Class,TP,FP,FN,TN,Precision,Recall,F1
C1,6,15,12,228,0.2857142857142857,0.3333333333333333,0.3076923076923077
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,1,0,23,237,1.0,0.041666666666666664,0.08
C5,3,1,36,221,0.75,0.07692307692307693,0.13953488372093023
C6,1,1,51,208,0.5,0.019230769230769232,0.037037037037037035
C7,4,7,40,210,0.36363636363636365,0.09090909090909091,0.14545454545454545
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,4,3,6,248,0.5714285714285714,0.4,0.47058823529411764
C11,4,1,17,239,0.8,0.19047619047619047,0.3076923076923077
C12,3,1,2,255,0.75,0.6,0.6666666666666666
C13,4,4,33,220,0.5,0.10810810810810811,0.17777777777777778
C14,47,71,31,112,0.3983050847457627,0.6025641025641025,0.47959183673469385
C15,26,2,2,231,0.9285714285714286,0.9285714285714286,0.9285714285714286
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,1,2,256,0.6666666666666666,0.5,0.5714285714285714
