Class,TP,FP,FN,TN,Precision,Recall,F1
C1,11,15,7,228,0.4230769230769231,0.6111111111111112,0.5
C2,0,3,25,233,0.0,0.0,0.0
C3,0,1,19,241,0.0,0.0,0.0
C4,1,1,23,236,0.5,0.041666666666666664,0.07692307692307693
C5,4,1,35,221,0.8,0.10256410256410256,0.18181818181818182
C6,4,3,48,206,0.5714285714285714,0.07692307692307693,0.13559322033898305
C7,5,4,39,213,0.5555555555555556,0.11363636363636363,0.18867924528301888
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,5,3,5,248,0.625,0.5,0.5555555555555556
C11,9,13,12,227,0.4090909090909091,0.42857142857142855,0.4186046511627907
C12,4,1,1,255,0.8,0.8,0.8
C13,4,4,33,220,0.5,0.10810810810810811,0.17777777777777778
C14,25,29,53,154,0.46296296296296297,0.32051282051282054,0.3787878787878788
C15,27,1,1,232,0.9642857142857143,0.9642857142857143,0.9642857142857143
C16,0,2,1,258,0.0,0.0,0.0
C17,0,1,1,259,0.0,0.0,0.0
C18,2,3,2,254,0.4,0.5,0.4444444444444444
