Class,TP,FP,FN,TN,Precision,Recall,F1
C1,0,2,18,241,0.0,0.0,0.0
C2,0,0,25,236,0.0,0.0,0.0
C3,0,0,19,242,0.0,0.0,0.0
C4,0,0,24,237,0.0,0.0,0.0
C5,0,0,39,222,0.0,0.0,0.0
C6,0,0,52,209,0.0,0.0,0.0
C7,0,0,44,217,0.0,0.0,0.0
C8,0,0,25,236,0.0,0.0,0.0
C9,0,0,2,259,0.0,0.0,0.0
C10,0,0,10,251,0.0,0.0,0.0
C11,0,1,21,239,0.0,0.0,0.0
C12,0,0,5,256,0.0,0.0,0.0
C13,0,2,37,222,0.0,0.0,0.0
C14,1,1,77,182,0.5,0.01282051282051282,0.025
C15,0,0,28,233,0.0,0.0,0.0
C16,0,0,1,260,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,0,0,4,257,0.0,0.0,0.0
